##;CROSS;##
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
##;##;##
##;NONGESTURE;##
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1542883;2.585968;0.2456068;0.4579752;0.5270671;-0.6744648;0.2399092;0.06359091;2.592655;0.1693958;0.1064974;0.4325536;-0.7489849;-0.4904872;0.04801201;2.618629;0.1777195;-0.04403009;0.4316381;-0.5155848;-0.7388658;0.05025623;2.635601;0.1937379;-0.04403009;0.4316381;-0.5155848;-0.7388658;0.08350492;2.63047;0.1450274;0.5626712;0.6404842;-0.517916;0.07031643;0.06943034;2.65604;0.1184799;0.4460515;0.7273094;-0.5212182;-0.01977253;0.05616564;2.67083;0.1088332;0.3730208;0.7675146;-0.5164276;-0.07127108;0.04418839;2.681705;0.1041896;0.3730208;0.7675146;-0.5164276;-0.07127108;0.09777339;2.639755;0.1562557;0.6843593;0.6172562;-0.3877996;0.01608773;0.09498904;2.676514;0.1319516;0.5043166;0.7715554;-0.3787491;-0.08316433;0.08258273;2.698391;0.1253434;0.3893443;0.8355451;-0.3629862;-0.1360759;0.07021088;2.712444;0.124307;0.3893443;0.8355451;-0.3629862;-0.1360759;0.111079;2.643196;0.1717837;0.7021405;0.6375708;-0.310155;-0.06562188;0.1108476;2.681458;0.1574156;0.5605832;0.7651287;-0.290485;-0.1262677;0.1022776;2.70499;0.1540606;0.4717606;0.8228097;-0.2746435;-0.1581058;0.09237446;2.72192;0.1540811;0.4717606;0.8228097;-0.2746435;-0.1581058;0.1209561;2.643993;0.1887723;0.7913582;0.57542;-0.1645243;-0.1248033;0.1301383;2.674862;0.1849924;0.6464529;0.7346529;-0.1254993;-0.1631992;0.1281621;2.692528;0.1863742;0.6018655;0.7714262;-0.1142122;-0.1720911;0.1247185;2.707939;0.1884129;0.6018655;0.7714262;-0.1142122;-0.1720911;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1448322;2.565155;0.2433955;-0.6475599;-0.7070543;0.02258267;0.2832499;0.09920635;2.62574;0.2385434;0.2565587;0.6416966;-0.5400686;-0.4803427;0.08650035;2.652275;0.2491668;0.03846188;0.6881213;-0.3553147;-0.6314756;0.08184333;2.663986;0.2688142;0.03846188;0.6881213;-0.3553147;-0.6314756;0.1248345;2.658936;0.2486818;0.6467212;0.7279656;-0.1737334;-0.147088;0.1201692;2.69754;0.2482829;0.5904091;0.7744423;-0.1735724;-0.1467279;0.1145437;2.718479;0.2487678;0.5501536;0.8038167;-0.1732152;-0.1456255;0.1087178;2.73394;0.2494876;0.5501536;0.8038167;-0.1732152;-0.1456255;0.1358239;2.656319;0.2656916;0.7330171;0.6593146;-0.09428667;-0.1382039;0.1407626;2.699715;0.2676222;0.6650172;0.7285677;-0.09297542;-0.1352659;0.1387451;2.725239;0.2695102;0.6219215;0.7662472;-0.0915909;-0.1330049;0.1352135;2.743309;0.2711721;0.6219215;0.7662472;-0.0915909;-0.1330049;0.1437226;2.647121;0.282506;0.7451217;0.6328395;-0.004075252;-0.2104554;0.1518151;2.685528;0.2930858;0.6798034;0.7055864;0.004856106;-0.1999792;0.151928;2.709549;0.3003315;0.5937109;0.7830418;0.01503501;-0.1847357;0.1475078;2.727566;0.3063191;0.5937109;0.7830418;0.01503501;-0.1847357;0.1476708;2.636017;0.2983274;0.7591441;0.6009611;0.1027248;-0.2280221;0.155968;2.663998;0.3122213;0.7011202;0.6712418;0.1158096;-0.2108393;0.1572514;2.679848;0.3201272;0.6031017;0.7669188;0.1278753;-0.1781906;0.1539188;2.693871;0.3269438;0.6031017;0.7669188;0.1278753;-0.1781906;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1419595;2.56456;0.2302855;-0.6008376;-0.7228943;-0.01555824;0.3408458;0.09213772;2.622971;0.2315692;0.2405978;0.6616256;-0.5275165;-0.4754899;0.07864649;2.648582;0.2432949;-0.002039455;0.702837;-0.3295274;-0.6304185;0.07386748;2.658195;0.2639712;-0.002039455;0.702837;-0.3295274;-0.6304185;0.1176361;2.655704;0.2474406;0.6519768;0.7253042;-0.1589863;-0.1535682;0.1136524;2.694302;0.2480407;0.6053466;0.7646104;-0.1478201;-0.1645477;0.1090449;2.715393;0.2496132;0.5530808;0.8031859;-0.1363004;-0.1744032;0.1036377;2.730854;0.2517502;0.5530808;0.8031859;-0.1363004;-0.1744032;0.1286747;2.65163;0.2640197;0.732961;0.6571995;-0.07730789;-0.1577369;0.1340971;2.694763;0.2681249;0.6586967;0.7316086;-0.06005176;-0.1651113;0.132104;2.720001;0.2722945;0.5991908;0.7810801;-0.04672064;-0.1694162;0.1279548;2.737591;0.2761505;0.5991908;0.7810801;-0.04672064;-0.1694162;0.1365742;2.640961;0.27987;0.7387263;0.6316004;0.01343758;-0.2349132;0.1447728;2.678638;0.2927391;0.6648384;0.7105879;0.03415349;-0.227791;0.1444656;2.701965;0.302005;0.5720097;0.789194;0.05686539;-0.2162053;0.1395466;2.719101;0.3099324;0.5720097;0.789194;0.05686539;-0.2162053;0.1406568;2.628487;0.2945525;0.7349938;0.6138977;0.1306778;-0.2565876;0.1475175;2.655533;0.3109651;0.6843586;0.669509;0.1512547;-0.246035;0.1485448;2.670536;0.3205209;0.5381084;0.7935838;0.1933522;-0.2080366;0.1431996;2.682903;0.329127;0.5381084;0.7935838;0.1933522;-0.2080366;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1355557;2.561604;0.226269;-0.5715287;-0.7578011;0.07896648;0.3047243;0.07635866;2.617832;0.2162793;0.180544;0.6797072;-0.5386084;-0.4640076;0.0605775;2.641148;0.2299169;-0.06842411;0.6983785;-0.3405213;-0.6258042;0.05574475;2.648853;0.2513736;-0.06842411;0.6983785;-0.3405213;-0.6258042;0.1007936;2.652313;0.2355751;0.6346018;0.7353367;-0.148613;-0.185674;0.09589331;2.690838;0.2388596;0.569495;0.7859562;-0.1253324;-0.2055242;0.0900805;2.711452;0.2427803;0.516711;0.8205305;-0.10662;-0.2199362;0.08394828;2.726311;0.2469441;0.516711;0.8205305;-0.10662;-0.2199362;0.1126267;2.648132;0.2516181;0.699923;0.6829576;-0.06248418;-0.1994303;0.1152121;2.690998;0.2596877;0.6068324;0.765103;-0.02847509;-0.2134508;0.1107833;2.715149;0.2671788;0.5598353;0.7991152;-0.01237197;-0.2187382;0.1056588;2.731773;0.2733795;0.5598353;0.7991152;-0.01237197;-0.2187382;0.1217624;2.637222;0.2666248;0.7009546;0.660143;0.01889572;-0.2692899;0.1269405;2.674374;0.2821188;0.6071068;0.7446719;0.06091661;-0.2705076;0.1240165;2.696209;0.294058;0.5111551;0.8109093;0.09859487;-0.2672567;0.1175053;2.711315;0.3044544;0.5111551;0.8109093;0.09859487;-0.2672567;0.1271218;2.624275;0.2804287;0.6980248;0.6326722;0.1425641;-0.3035836;0.1322336;2.649952;0.2992165;0.6297187;0.6976407;0.177246;-0.2921232;0.1315873;2.663685;0.3103834;0.4301896;0.8302722;0.2538512;-0.247275;0.1235242;2.673038;0.3203756;0.4301896;0.8302722;0.2538512;-0.247275;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1273646;2.560387;0.2208812;-0.5461231;-0.768634;0.2082286;0.2599853;0.06090604;2.61515;0.2006617;0.1711863;0.664537;-0.5679541;-0.4544387;0.0443854;2.638416;0.2134543;-0.05732905;0.6807718;-0.3824423;-0.6220942;0.03926866;2.647694;0.2342284;-0.05732905;0.6807718;-0.3824423;-0.6220942;0.08473299;2.651649;0.2166581;0.6188899;0.7446188;-0.1770422;-0.1765632;0.07804213;2.690075;0.2183542;0.5567992;0.7918772;-0.1595252;-0.1935397;0.07139559;2.710663;0.2211561;0.5026819;0.826932;-0.1441753;-0.2066606;0.06458694;2.725487;0.2244312;0.5026819;0.826932;-0.1441753;-0.2066606;0.09707202;2.64875;0.2326306;0.6844908;0.6983484;-0.09020275;-0.1888007;0.09744875;2.692101;0.2387533;0.596037;0.7748656;-0.06524031;-0.2001678;0.09207467;2.716537;0.2447225;0.5452697;0.8111598;-0.0514699;-0.2050665;0.08612349;2.733315;0.2498457;0.5452697;0.8111598;-0.0514699;-0.2050665;0.1069965;2.638977;0.2479477;0.6901907;0.6751064;-0.009054668;-0.2603582;0.1105986;2.677055;0.2617154;0.5983189;0.7567778;0.02677277;-0.261888;0.106924;2.699429;0.272454;0.5100291;0.8180372;0.05751136;-0.2595733;0.1002037;2.715103;0.2818695;0.5100291;0.8180372;0.05751136;-0.2595733;0.1132124;2.626961;0.2622466;0.6935186;0.6472709;0.1123948;-0.2957025;0.1176379;2.653778;0.2796142;0.620104;0.7170109;0.1450191;-0.2834368;0.1164004;2.668083;0.2899957;0.4625597;0.827177;0.1993587;-0.2491448;0.109292;2.67865;0.2994635;0.4625597;0.827177;0.1993587;-0.2491448;
##;##;##
##;NONGESTURE;##
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1308213;2.555779;0.2560021;-0.6394909;-0.6897749;0.3291684;0.08312766;0.06946919;2.591686;0.2238187;0.2274996;0.4775728;-0.7389663;-0.4172496;0.05229225;2.617817;0.2257702;0.04048687;0.5229092;-0.5253211;-0.6700482;0.04998412;2.635254;0.2411488;0.04048687;0.5229092;-0.5253211;-0.6700482;0.09340331;2.631279;0.2115404;0.6123543;0.6562567;-0.4351586;0.07061593;0.08401163;2.660324;0.1870622;0.5094443;0.7376551;-0.4429938;0.0093899;0.07349813;2.676579;0.1768853;0.4440336;0.7781045;-0.44351;-0.02620531;0.06341996;2.688492;0.1709967;0.4440336;0.7781045;-0.44351;-0.02620531;0.1057953;2.638988;0.2256849;0.7116365;0.6305678;-0.3076753;0.03596893;0.1064714;2.67738;0.2044892;0.5639658;0.763998;-0.3124631;-0.02483508;0.09711871;2.700008;0.1963764;0.4942554;0.8104201;-0.3105133;-0.05012574;0.08771116;2.715469;0.1921832;0.4942554;0.8104201;-0.3105133;-0.05012574;0.1161688;2.640678;0.2434832;0.7287942;0.6473249;-0.2181465;-0.04734651;0.1188816;2.679871;0.233051;0.5987689;0.7686279;-0.2092648;-0.08303886;0.1121273;2.703842;0.2299645;0.5021086;0.8348467;-0.1996904;-0.1050812;0.1028962;2.720997;0.2294757;0.5021086;0.8348467;-0.1996904;-0.1050812;0.1227785;2.63982;0.2619407;0.7837188;0.6086034;-0.08160853;-0.09341934;0.1307136;2.671101;0.2614822;0.6340925;0.7633295;-0.06245904;-0.1065555;0.1276458;2.688488;0.262961;0.5882393;0.7992901;-0.0570288;-0.1088957;0.1231426;2.703583;0.2646562;0.5882393;0.7992901;-0.0570288;-0.1088957;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1420069;2.549225;0.2612981;-0.6481293;-0.728229;0.1162974;0.1899626;0.08750138;2.601349;0.2453163;0.2251574;0.6171213;-0.6202751;-0.428631;0.07089449;2.626671;0.2531266;0.04150531;0.6502969;-0.4633591;-0.6005746;0.06448002;2.640903;0.270438;0.04150531;0.6502969;-0.4633591;-0.6005746;0.1136548;2.639366;0.2459501;0.599936;0.7568038;-0.250374;-0.06810396;0.1030606;2.676247;0.2382252;0.5290748;0.8081788;-0.2416628;-0.09233861;0.09380224;2.695946;0.2358915;0.4670612;0.8456149;-0.2330174;-0.111769;0.0848062;2.710007;0.2354133;0.4670612;0.8456149;-0.2330174;-0.111769;0.1244973;2.640484;0.2631452;0.7264935;0.666554;-0.1492196;-0.07514292;0.1274358;2.683971;0.2580246;0.624173;0.7633303;-0.1351081;-0.09736876;0.1222323;2.709232;0.2575059;0.5612904;0.8106971;-0.1260117;-0.1088327;0.1157974;2.726658;0.2581564;0.5612904;0.8106971;-0.1260117;-0.1088327;0.1329559;2.634937;0.2811896;0.7209871;0.6740102;-0.05742787;-0.1502999;0.1364169;2.675251;0.2860712;0.5863011;0.7934972;-0.02617489;-0.1610226;0.1298589;2.698895;0.2917346;0.4662487;0.8690261;-0.0009882897;-0.1655442;0.1198763;2.714748;0.2973438;0.4662487;0.8690261;-0.0009882897;-0.1655442;0.1375673;2.627033;0.2985861;0.773734;0.6021779;0.05767411;-0.1881265;0.1462419;2.656475;0.3088026;0.6498049;0.7322526;0.09732498;-0.179131;0.1446208;2.672775;0.3157147;0.5713422;0.7940259;0.1174705;-0.17115;0.1400351;2.686554;0.3221674;0.5713422;0.7940259;0.1174705;-0.17115;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1435002;2.549465;0.264021;-0.647326;-0.7244958;0.07532655;0.2245013;0.09115671;2.603725;0.2528215;0.237499;0.6336129;-0.6030323;-0.4224702;0.07458428;2.629059;0.2606014;0.05511299;0.6690148;-0.4538129;-0.5860339;0.06743133;2.643169;0.277703;0.05511299;0.6690148;-0.4538129;-0.5860339;0.1174676;2.641075;0.2565245;0.6093665;0.757628;-0.2157926;-0.09003386;0.1080342;2.67873;0.2515702;0.554602;0.7986751;-0.2080949;-0.1059778;0.1001042;2.699085;0.2502213;0.4978431;0.8352611;-0.1995013;-0.1212065;0.09217465;2.713779;0.2502853;0.4978431;0.8352611;-0.1995013;-0.1212065;0.1280878;2.640884;0.2739011;0.7284766;0.6674377;-0.1182495;-0.09932671;0.1316481;2.684601;0.2721583;0.6258258;0.7645197;-0.1021878;-0.1157985;0.126749;2.709911;0.2734267;0.5714793;0.8059421;-0.09368081;-0.1228526;0.1208608;2.72747;0.2751181;0.5714793;0.8059421;-0.09368081;-0.1228526;0.1362061;2.633984;0.2916352;0.7214942;0.6698245;-0.02603864;-0.1735037;0.1403335;2.673721;0.2995719;0.59006;0.7876819;0.007257544;-0.1770135;0.1342719;2.697044;0.3068027;0.4844774;0.8563826;0.0308452;-0.1758952;0.1251138;2.713047;0.3132734;0.4844774;0.8563826;0.0308452;-0.1758952;0.1404625;2.624847;0.3085068;0.7667807;0.6003222;0.08659926;-0.2101454;0.1490051;2.653435;0.3209582;0.6512057;0.722589;0.1254897;-0.1950606;0.1476599;2.669289;0.3288703;0.5539797;0.7987516;0.1510451;-0.1796881;0.1425509;2.682484;0.3360882;0.5539797;0.7987516;0.1510451;-0.1796881;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.143414;2.551273;0.2618693;-0.6313668;-0.7343571;0.0412745;0.2457481;0.09224285;2.610191;0.2497383;0.2593304;0.6780905;-0.543891;-0.4208606;0.07626945;2.635483;0.2587574;0.07758053;0.7189273;-0.4130676;-0.5536243;0.06753977;2.648727;0.2757982;0.07758053;0.7189273;-0.4130676;-0.5536243;0.1167763;2.644279;0.2642817;0.6290166;0.7541725;-0.135349;-0.1313122;0.1099647;2.68277;0.2653684;0.5618013;0.8054643;-0.1230607;-0.1430483;0.1027955;2.703331;0.267384;0.4957284;0.8476914;-0.1109337;-0.1528611;0.09509188;2.717918;0.2698725;0.4957284;0.8476914;-0.1109337;-0.1528611;0.1267815;2.640518;0.2816089;0.7196094;0.6763126;-0.04286545;-0.1514146;0.1303548;2.68375;0.2878815;0.6404536;0.7518687;-0.02693204;-0.1542319;0.1269524;2.708775;0.2929679;0.5740859;0.8038445;-0.01445585;-0.1550824;0.1215183;2.72599;0.2972881;0.5740859;0.8038445;-0.01445585;-0.1550824;0.1340972;2.630138;0.2979231;0.7217543;0.6504267;0.04803228;-0.231752;0.1401682;2.667419;0.313004;0.6359459;0.7347543;0.07573531;-0.2235469;0.1378781;2.690037;0.3236721;0.5542393;0.7984071;0.09858888;-0.2136482;0.1321367;2.706478;0.3324582;0.5542393;0.7984071;0.09858888;-0.2136482;0.1376499;2.617809;0.3127848;0.7194562;0.6115974;0.1782745;-0.2766764;0.1437272;2.643024;0.3319834;0.6365793;0.6966642;0.2129153;-0.2531659;0.1426393;2.656837;0.3430455;0.4867948;0.8081172;0.2591459;-0.2069339;0.1356469;2.667625;0.3523613;0.4867948;0.8081172;0.2591459;-0.2069339;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1423573;2.551182;0.2634966;-0.6278514;-0.7339746;0.0620397;0.2514656;0.09054714;2.609932;0.2508774;0.2559903;0.677316;-0.5454872;-0.4220854;0.07452799;2.635159;0.2600174;0.07355551;0.7175475;-0.4138121;-0.555405;0.06586036;2.648319;0.27716;0.07355551;0.7175475;-0.4138121;-0.555405;0.1151021;2.644123;0.2653515;0.6294345;0.7530448;-0.1372406;-0.1337945;0.1083812;2.68264;0.2664757;0.5641677;0.8030385;-0.1244064;-0.1461761;0.1013656;2.703255;0.2685409;0.499793;0.844495;-0.1117189;-0.156698;0.0938338;2.717926;0.271094;0.499793;0.844495;-0.1117189;-0.156698;0.125215;2.640408;0.2826302;0.7181577;0.6773327;-0.04510271;-0.1530879;0.1286507;2.683662;0.2888814;0.6427151;0.7492743;-0.02855479;-0.1571304;0.1254435;2.70871;0.2940034;0.5776389;0.8005005;-0.0152024;-0.1590633;0.1202064;2.725971;0.2984058;0.5776389;0.8005005;-0.0152024;-0.1590633;0.1326478;2.630066;0.2989161;0.7189033;0.6530082;0.04660916;-0.233637;0.1384563;2.667366;0.3140517;0.6365782;0.7333207;0.07436993;-0.226889;0.136282;2.689964;0.324786;0.5552338;0.7965673;0.09826761;-0.2180369;0.1306574;2.706383;0.3336903;0.5552338;0.7965673;0.09826761;-0.2180369;0.1363312;2.617764;0.3137687;0.7141266;0.6168876;0.1786705;-0.2784782;0.1419794;2.642982;0.3330884;0.6345856;0.6974875;0.2123349;-0.2563722;0.1408595;2.65675;0.3442093;0.4747471;0.8140537;0.262282;-0.2077028;0.1335084;2.667294;0.3535333;0.4747471;0.8140537;0.262282;-0.2077028;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.1422097;2.551735;0.2636161;-0.6227528;-0.7375599;0.06717198;0.2523337;0.08954875;2.610195;0.2509072;0.2542149;0.6771802;-0.5464306;-0.4221555;0.0734749;2.635372;0.2600932;0.07047369;0.7171341;-0.4137294;-0.5563996;0.06483689;2.648449;0.2773205;0.07047369;0.7171341;-0.4137294;-0.5563996;0.114099;2.644459;0.2654294;0.6293342;0.7528564;-0.1379746;-0.1345696;0.107383;2.682983;0.2665624;0.5647902;0.8023453;-0.1252047;-0.1468942;0.1004052;2.703621;0.2686259;0.5009447;0.8435686;-0.1125362;-0.1574242;0.09291723;2.718323;0.2711774;0.5009447;0.8435686;-0.1125362;-0.1574242;0.1242522;2.64077;0.2826922;0.7174247;0.6778673;-0.04571255;-0.1539745;0.12762;2.684032;0.2889687;0.6425183;0.7491732;-0.02886879;-0.1583558;0.1244192;2.70908;0.2941279;0.5784512;0.7996111;-0.01537799;-0.1605614;0.1192336;2.726353;0.2985662;0.5784512;0.7996111;-0.01537799;-0.1605614;0.1317359;2.630447;0.2989686;0.717514;0.6542166;0.0462628;-0.2345931;0.1374187;2.667751;0.3141533;0.6358635;0.7335021;0.07428152;-0.2283305;0.1352317;2.690323;0.3249376;0.5544105;0.7965875;0.09868397;-0.2198615;0.1296023;2.706707;0.3339051;0.5544105;0.7965875;0.09868397;-0.2198615;0.1354744;2.61816;0.3138178;0.7123963;0.6184181;0.1786779;-0.2795082;0.141;2.643364;0.333185;0.6348104;0.6967605;0.2118352;-0.2581987;0.1399237;2.657112;0.3443339;0.4735663;0.8140654;0.2629161;-0.2095421;0.1325621;2.667603;0.3537044;0.4735663;0.8140654;0.2629161;-0.2095421;
